loan1,loan2,loan3,loan4,loan5,loan6,loan7,loan8,loan9,loan10,loan11,loan12,loan13,loan14,loan15,loan16,loan17,loan18,loan19,loan20,AllLoan,Condition
1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,16,1
1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,15,1
1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,14,1
1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,8,1
1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,14,1
1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,10,1
1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,15,1
1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,13,1
1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,14,1
1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,14,1
1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,10,1
1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,13,1
0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,7,1
1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,8,1
1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,14,1
1,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,12,1
1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,10,1
1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,8,1
1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,11,1
1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,13,1
1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,15,1
1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,14,1
1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,13,0
1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,15,0
0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,13,0
1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,14,0
1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,14,0
1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,13,0
1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,14,0
1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,14,0
1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,14,0
1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,14,0
1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,16,0
1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,11,0
1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,13,0
1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,15,0
1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,9,0
1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,14,0